id,url,brand,lcbo_id,style_link_name,style_link_url,description,seasonal,release,abv,made_in,made_by,style,created
15,http://www.lcbo.com/lcbo/product/sol/415661,Sol,NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Clear medium gold colour; subtle aromas of freshly baked bread, citrus fruit and marzipan; on the palate it is light bodied and mild carbonation, with flavours that reaffirm the aromas.",NULL,"February 3, 2015",4.5%,Mexico,"Cerveceria Cuauhtemoc Moctezuma","Light & Malty","2018-06-11 03:03:51"
16,http://www.lcbo.com/lcbo/product/samuel-adams-boston-lager/307330,"Samuel Adams Boston Lager",NULL,"Medium & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Malty,"Bright golden yellow colour with a thick head; aromas are perfumed and complex, showing sweet malt, delicate fruit, citrus/grapefruit, honey, light spice, with cereal, herbal/floral, yeasty, spice and pine notes; dry, crisp, well carbonated, medium bodied and rich, well balanced, flavours of malt, toasted grain, citrus, caramel and light fruit with herbal hops, hints of spice and bread yeast; pleasant bitter floral hops on the lingering finish.",NULL,"February 23, 2015",5.1%,"Massachusetts, USA","Boston Beer Company","Medium & Malty","2018-06-11 03:03:51"
17,http://www.lcbo.com/lcbo/product/sagres-pilsener/163816,"Sagres Pilsener",NULL,NULL,NULL,"A refreshing and tasty sessionable beer. Pours a pale golden colour with a fine, thin head. Aromas are light and delicate presenting toasted grain, floral hops and cereal with grassy notes. On the palate this is delicately sweet, malty and crisp, with notes of cooked cereal, citrus and light hops on the fresh finish.",NULL,"February 14, 2018",5.1%,Portugal,"Central De Cervejas, S.A.",NULL,"2018-06-11 03:03:51"
18,http://www.lcbo.com/lcbo/product/moosehead-lager/613497,"Moosehead Lager",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Golden yellow colour with light hoppy aromas and sweet malt flavours; creamy texture with a crisp, hoppy finish",NULL,"August 15, 2012",5.0%,"New Brunswick, Canada","Moosehead Breweries Limited","Light & Malty","2018-06-11 03:03:51"
19,http://www.lcbo.com/lcbo/product/corona-extra/550764,"Corona Extra",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Light gold colour; forward grassy hop nose; soft hop taste; light-body; softly bitter, clean finish",NULL,"August 14, 2012",4.6%,Mexico,"Cerveceria Modelo Sa De Cv","Light & Malty","2018-06-11 03:03:51"
20,http://www.lcbo.com/lcbo/product/sleeman-original-draught/612259,"Sleeman Original Draught",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Pale gold; aromas of grains, citrus and flowers; light-bodied, with green apple and biscuit flavours; refreshing and smooth.",NULL,"October 7, 2014",5.0%,"Ontario, Canada","Sleeman Brewing & Malting Co","Light & Malty","2018-06-11 03:03:51"
21,http://www.lcbo.com/lcbo/product/warsteiner-premium-pilsener/556720,"Warsteiner Premium Pilsener",NULL,"Medium & Floral",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Floral,"Floral/hoppy aromas with a hint of spice; rich and full- bodied with a thirst quenching hoppy finish",NULL,"May 15, 2012",4.8%,Germany,"Warsteiner Brauerei","Medium & Floral","2018-06-11 03:03:51"
22,http://www.lcbo.com/lcbo/product/kronenbourg-1664/506741,"Kronenbourg 1664",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Pale gold colour; toasted barley aroma; slightly sweet malt flavour with refreshing, bitter hops in finish.",NULL,"August 14, 2012",5.0%,"Alsace, France","Brasseries Kronenbourg","Light & Malty","2018-06-11 03:03:51"
23,http://www.lcbo.com/lcbo/product/coronita-extra/611566,"Coronita Extra",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Golden hued light yellow; aroma of hops and light citrus; very light beer taste, quite quaffable.",NULL,"May 14, 2012",4.6%,Mexico,"Cerveceria Modelo Sa De Cv","Light & Malty","2018-06-11 03:03:52"
24,http://www.lcbo.com/lcbo/product/molson-canadian/900621,"Molson Canadian",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Made from the very best ingredients and always preservative free. Pours a light golden colour with a soft fluffy head. Delicate floral and barley aromas with notes of citrus, grain and sweet fruit. Crisp, clean, medium bodied and smooth on the palate. Flavours of light hops, sweet malt and citrus. Pleasant hoppy finish.",NULL,"February 26, 2018",5.0%,"Ontario, Canada","Molson's Brewery Of Canada Limited","Light & Malty","2018-06-11 03:03:52"
25,http://www.lcbo.com/lcbo/product/molson-canadian/904409,"Molson Canadian",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Made from the very best ingredients and always preservative free. Pours a light golden colour with a soft fluffy head. Delicate floral and barley aromas with notes of citrus, grain and sweet fruit. Crisp, clean, medium bodied and smooth on the palate. Flavours of light hops, sweet malt and citrus. Pleasant hoppy finish.",NULL,"February 26, 2018",5.0%,"Ontario, Canada","Molson's Brewery Of Canada Limited","Light & Malty","2018-06-11 03:03:52"
26,http://www.lcbo.com/lcbo/product/sleeman-clear-20/698209,"Sleeman Clear 2.0",NULL,"Light & Hoppy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Hoppy,"The second generation of Clear, Sleeman Clear 2.0 pours medium gold colour and offers a light hoppy nose; light bodied this brew finishes cleanly making it very sessionable.",NULL,"January 1, 2001",4.0%,"Ontario, Canada","Sleeman Brewing & Malting Co","Light & Hoppy","2018-06-11 03:03:52"
27,http://www.lcbo.com/lcbo/product/coors-light/906628,"Coors Light",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Pale gold colour; light grain with a touch of mineral aroma and flavour; soft, pleasant finish.",NULL,"May 14, 2012",4.0%,"Ontario, Canada","Molson's Brewery Of Canada Limited","Light & Malty","2018-06-11 03:03:52"
28,http://www.lcbo.com/lcbo/product/budweiser/902619,Budweiser,NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Light golden colour; light malt & hops; light body, touch of citrus to finish",NULL,"May 11, 2012",5.0%,"Ontario, Canada","Labatt Breweries Ontario","Light & Malty","2018-06-11 03:03:52"
29,http://www.lcbo.com/lcbo/product/coors-light/906560,"Coors Light",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Pale gold colour; light grain with a touch of mineral aroma and flavour; soft, pleasant finish.",NULL,"May 14, 2012",4.0%,"Ontario, Canada","Molson's Brewery Of Canada Limited","Light & Malty","2018-06-11 03:03:52"
30,http://www.lcbo.com/lcbo/product/radeberger-pilsner/676056,"Radeberger Pilsner",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Light golden colour with a creamy mousse; roasted grain, malty, floral aromas with light malt notes; light on the palate with a long finish.",NULL,"January 1, 2001",5.0%,Germany,"Dortmunder Actien Brauerei Kg","Light & Malty","2018-06-11 03:03:52"
31,http://www.lcbo.com/lcbo/product/stiegl-bier/676106,"Stiegl Bier",NULL,"Medium & Floral",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Floral,"Clear deep golden yellow colour with medium dense head; aromas of floral hops, grain/malt with grassy and lemon notes; dry, light to medium bodied, with flavours of floral/grassy hops and malt, with citrus and herbal notes; lightly bitter on the finish.",NULL,"January 23, 2015",4.9%,Austria,"Stiegl Getranke & Service Gmbh","Medium & Floral","2018-06-11 03:03:52"
32,http://www.lcbo.com/lcbo/product/labatt-blue/696468,"Labatt Blue",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Bright, clear yellow with a foamy white head; aromas of sweet cereal grain, corn and a hint of floral hops; on the palate it is crisp and clean, with flavours that echo the aromas.",NULL,"November 21, 2014",5.0%,"Ontario, Canada","Labatt Breweries Ontario","Light & Malty","2018-06-11 03:03:52"
33,http://www.lcbo.com/lcbo/product/bud-light/908665,"Bud Light",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Light golden colour; light malt & hops; very light body touch of citrus to finish.",NULL,"August 14, 2012",4.0%,"Ontario, Canada","Labatt Breweries Ontario","Light & Malty","2018-06-11 03:03:52"
34,http://www.lcbo.com/lcbo/product/moosehead-lager/911396,"Moosehead Lager",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Golden yellow colour with light hoppy aromas and sweet malt flavours; creamy texture with a crisp, hoppy finish",NULL,"August 15, 2012",5.0%,"New Brunswick, Canada","Moosehead Breweries Limited","Light & Malty","2018-06-11 03:03:52"
35,http://www.lcbo.com/lcbo/product/coors-light/906669,"Coors Light",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Pale gold colour; light grain with a touch of mineral aroma and flavour; soft, pleasant finish.",NULL,"May 14, 2012",4.0%,"Ontario, Canada","Molson's Brewery Of Canada Limited","Light & Malty","2018-06-11 03:03:52"
36,http://www.lcbo.com/lcbo/product/pabst-blue-ribbon/921478,"Pabst Blue Ribbon",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Very pale golden colour with frothy mousse; delicate malt aromas with hints of banana and pear fruit; medium-light bodied with clean flavours of cereal and light hops on the finish.",NULL,"October 7, 2014",5.0%,"Ontario, Canada","Sleeman Brewing & Malting Co","Light & Malty","2018-06-11 03:03:52"
37,http://www.lcbo.com/lcbo/product/james-ready-55/140509,"James Ready 5.5",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Light yellow colour with light persistant head; aromas of sweet corn/malt with light herbal hop notes; light sweet notes with pleasant carbonation, crisp and clean on the palate; balanced malt and hops flavours on the finish.",NULL,"May 11, 2012",5.5%,"New Brunswick, Canada","Moosehead Breweries Limited","Light & Malty","2018-06-11 03:03:52"
38,http://www.lcbo.com/lcbo/product/waterloo-dark/86439,"Waterloo Dark",NULL,"Medium & Roasted",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Roasted,"Dark brown colour; light toasted malt and hop flavour; lightly roasted flavour, short finish",NULL,"June 25, 2009",5.0%,"Ontario, Canada","The Brick Brewing Co","Medium & Roasted","2018-06-11 03:03:52"
39,http://www.lcbo.com/lcbo/product/muskoka-craft-lager/175810,"Muskoka Craft Lager",NULL,"Medium & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Malty,"Medium amber colour; aromas of malty cereal, fresh grass, zesty citrus and a hint of honey; on the palate it is dry and medium bodied with moderate carbonation and flavours of cereal, wildflower honey and a light hop bitterness.",NULL,"October 14, 2014",4.8%,"Ontario, Canada","Lakes Of Muskoka Cottage Brewery","Medium & Malty","2018-06-11 03:03:52"
40,http://www.lcbo.com/lcbo/product/bud-light-lime/180810,"Bud Light Lime",NULL,"Light & Fruity",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Fruity,"A light-bodied refresher with sweet limeade flavours",NULL,"July 6, 2011",4.0%,"Ontario, Canada","Labatt Breweries Ontario","Light & Fruity","2018-06-11 03:03:52"
41,http://www.lcbo.com/lcbo/product/peroni-nastro-azzurro/143891,"Peroni Nastro Azzurro",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Pours a clear pale gold colour with fine head. Pleasant aromas of crisp apple, citrus pith and freshly baked bread with floral hops. On the palate it is medium bodied and moderately carbonated, with flavours of apple, toasted grains and light notes of citrus, grass and caramel on a refreshingly bitter finish.",NULL,"February 20, 2018",5.1%,Italy,"Birra Peroni Industriale","Light & Malty","2018-06-11 03:03:53"
42,http://www.lcbo.com/lcbo/product/birra-moretti/174094,"Birra Moretti",NULL,"Light & Hoppy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Hoppy,"Pale gold colour with light carbonation; aromas of sweet malt, lightly toasted cereal, bread and floral hops, with light grassy/herbal notes; light bodied, crisp, clean and refreshing, with flavours of light sweet malt, cooked grains and slightly bitter/hoppy finish.",NULL,"November 28, 2012",4.6%,Italy,"Birra Moretti S.P.A.","Light & Hoppy","2018-06-11 03:03:53"
43,http://www.lcbo.com/lcbo/product/laker-ice/142620,"Laker Ice",NULL,"Light & Hoppy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Hoppy,"Light amber gold colour; cereal grain, sweet corn and apple aroma; light grain and malt with a very mild hop flavour.",NULL,"October 7, 2014",5.5%,"Ontario, Canada","The Brick Brewing Co","Light & Hoppy","2018-06-11 03:03:53"
44,http://www.lcbo.com/lcbo/product/hop-city-barking-squirrel-lager/267773,"Hop City Barking Squirrel Lager",NULL,"Medium & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Malty,"Deep amber colour; aromas of toffee, citrus and malt grains; medium-bodied, with balanced carbonation; flavours of malted grains and citrus, with a perfect balance of malty sweetness and pleasing hops bitterness.",NULL,"February 24, 2016",4.8%,"Ontario, Canada","Hop City Brewing Co.","Medium & Malty","2018-06-11 03:03:53"
45,http://www.lcbo.com/lcbo/product/spaten-original-munich-beer/249433,"Spaten Original Munich Beer",NULL,"Light & Hoppy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Hoppy,"deep gold; gentle hop aroma; creamy mouthfeel; bread and citrus flavour with a smoky note on the finish",NULL,"September 2, 2011",5.2%,Germany,"Beck & Company","Light & Hoppy","2018-06-11 03:03:53"
46,http://www.lcbo.com/lcbo/product/hacker-pschorr-munich-gold/247478,"Hacker Pschorr Munich Gold",NULL,"Light & Hoppy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Hoppy,"Pale gold yellow colour; aromas of sweet malt, with light grassy and spicy hops tones; light to medium bodied, with sweet cereal/malt flavours; clean and refreshing bitter hops on the finish.",NULL,"February 9, 2015",5.5%,Germany,"Hacker-Pschorr Brau Ag Munchen","Light & Hoppy","2018-06-11 03:03:53"
47,http://www.lcbo.com/lcbo/product/karlovacko-beer/243725,"Karlovacko Beer",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"The brewery, located in Karlovac, Croatia, is not only the oldest brewery in the state, it's also a beloved symbol of the town and is a significant source of pride to the entire county. Their popular pilsner pours medium gold with a nose of light floral hops and citrus, refreshing on the palate with a lightly bitter finish.",NULL,"December 30, 2011",5.0%,Croatia,"Karlovacka Pivovara","Light & Malty","2018-06-11 03:03:53"
48,http://www.lcbo.com/lcbo/product/tennent-s-export-lager/268011,"Tennent's Export Lager",NULL,"Medium & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Malty,"Based on a historic export recipe, this lager pours clear yellow with a medium white head. The nose offers aromas of cereal, citrus, grass, and corn while the palate offers similar flavours and moderate carbonation on a light, crisp and refreshing palate. An excellent ambassador, this is Scotland's favourite lager.",NULL,"February 22, 2016",5.0%,"Scotland, United Kingdom","Bulmer Ltd.","Medium & Malty","2018-06-11 03:03:53"
49,http://www.lcbo.com/lcbo/product/michelob-ultra/284562,"Michelob Ultra",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Clear, pale straw yellow colour; soft lemon and biscuit aromas; light body; soft cereal and citrus flavours.",NULL,"June 28, 2012",4.0%,"Ontario, Canada","Labatt Breweries Ontario","Light & Malty","2018-06-11 03:03:53"
50,http://www.lcbo.com/lcbo/product/budweiser/311787,Budweiser,NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Light golden colour; light malt & hops; light body, touch of citrus to finish",NULL,"May 11, 2012",5.0%,"Ontario, Canada","Labatt Breweries Ontario","Light & Malty","2018-06-11 03:03:53"
51,http://www.lcbo.com/lcbo/product/corona-extra/186510,"Corona Extra",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Light gold colour; forward grassy hop nose; soft hop taste; light-body; softly bitter, clean finish",NULL,"August 14, 2012",4.6%,Mexico,"Cerveceria Modelo Sa De Cv","Light & Malty","2018-06-11 03:03:53"
52,http://www.lcbo.com/lcbo/product/hofbrau-original-lager/319202,"Hofbrau Original Lager",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Golden colour; soft bready and grain aromas and flavours with spicy notes; light, crisp and refreshing.",NULL,"October 24, 2013",5.1%,Germany,"Staatliches Hofbrauhaus In Munchen","Light & Malty","2018-06-11 03:03:53"
53,http://www.lcbo.com/lcbo/product/birra-moretti/296889,"Birra Moretti",NULL,"Light & Hoppy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Hoppy,"Pale gold colour with light carbonation; aromas of sweet malt, lightly toasted cereal, bread and floral hops, with light grassy/herbal notes; light bodied, crisp, clean and refreshing, with flavours of light sweet malt, cooked grains and slightly bitter/hoppy finish.",NULL,"November 28, 2012",5.0%,Italy,"Birra Moretti S.P.A.","Light & Hoppy","2018-06-11 03:03:53"
54,http://www.lcbo.com/lcbo/product/bud-light/311779,"Bud Light",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Light golden colour; light malt & hops; very light body touch of citrus to finish.",NULL,"August 14, 2012",4.0%,"Ontario, Canada","Labatt Breweries Ontario","Light & Malty","2018-06-11 03:03:53"
55,http://www.lcbo.com/lcbo/product/krombacher-pilsner/284463,"Krombacher Pilsner",NULL,"Light & Hoppy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Hoppy,"The traditional recipe and modern production are combined to craft this unique pilsner. A bright golden colour pours into the glass that instantly fills with lively aromas of toasted malt. Dry and light-bodied on the palate with resonating rich malty character and a subtle bitter hop note that adds balance.",NULL,"November 20, 2017",4.8%,Germany,"Krombacher Brauerei Gmbh & Co","Light & Hoppy","2018-06-11 03:03:53"
56,http://www.lcbo.com/lcbo/product/kaiser-beer/32359,"Kaiser Beer",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Pours a clear gold with a thin white head; the nose offers light aromas of cereal and sweet malt. Light-bodied with average carbonation and light flavours of honey oats and dry grass followed by a short/crisp finish.",NULL,"July 9, 2008",5.0%,Austria,"Brau Union International Gmbh","Light & Malty","2018-06-11 03:03:53"
57,http://www.lcbo.com/lcbo/product/hacker-pschorr-munich-gold-lager/308403,"Hacker Pschorr Munich Gold Lager",NULL,"Medium & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Malty,"100% natural and brewed with pure spring water; slightly cloudy and gold with a fine lacy head. Expect aromas of cereal and roasted nuts; the palate is moderately carbonated and medium-bodied with flavours of dried fruit and floral with a crisp and balanced finish",NULL,"April 5, 2016",5.5%,Germany,"Hacker-Pschorr Brau Ag Munchen","Medium & Malty","2018-06-11 03:03:53"
58,http://www.lcbo.com/lcbo/product/dos-equis-lager/287540,"Dos Equis Lager",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Bright gold colour; aromas of malt, hops and toasted oat; light bodied, with toasted barley, slightly nutty flavour, medium long finish.",NULL,"May 14, 2012",4.5%,Mexico,"Cerveceria Cuauhtemoc Moctezuma","Light & Malty","2018-06-11 03:03:53"
59,http://www.lcbo.com/lcbo/product/coors-banquet/363085,"Coors Banquet",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"American style lager that's easy to enjoy. Pours a pale golden colour with fine head. Aromas of cereal, toast and cracker with light hops and corn notes.The palate is dry and light bodied, showing pleasant flavours of toasted grain, pale malt, light creamed corn, fruit, cereal and toast with grassy, herbal hops on finish.",NULL,"February 14, 2018",5.0%,USA,"Coors Brewers Limited","Light & Malty","2018-06-11 03:03:53"
60,http://www.lcbo.com/lcbo/product/samuel-adams-boston-lager/365601,"Samuel Adams Boston Lager",NULL,"Medium & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Malty,"Bright golden yellow colour with a thick head; aromas are perfumed and complex, showing sweet malt, delicate fruit, citrus/grapefruit, honey, light spice, with cereal, herbal/floral, yeasty, spice and pine notes; dry, crisp, well carbonated, medium bodied and rich, well balanced, flavours of malt, toasted grain, citrus, caramel and light fruit with herbal hops, hints of spice and bread yeast; pleasant bitter floral hops on the lingering finish.",NULL,"February 23, 2015",4.8%,"Massachusetts, USA","Boston Beer Company","Medium & Malty","2018-06-11 03:03:54"
61,http://www.lcbo.com/lcbo/product/molson-canadian/300699,"Molson Canadian",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Made from the very best ingredients and always preservative free. Pours a light golden colour with a soft fluffy head. Delicate floral and barley aromas with notes of citrus, grain and sweet fruit. Crisp, clean, medium bodied and smooth on the palate. Flavours of light hops, sweet malt and citrus. Pleasant hoppy finish.",NULL,"February 26, 2018",5.0%,"Ontario, Canada","Molson's Brewery Of Canada Limited","Light & Malty","2018-06-11 03:03:54"
62,http://www.lcbo.com/lcbo/product/aecht-schlenkerla-rauchbier/409110,"Aecht Schlenkerla Rauchbier",NULL,"Medium & Roasted",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Roasted,"Dark brown, almost black colour, with rich head; aromas of smoked meat/bacon, leather and toasted/burnt malt and dried herb with notes of charred wood, high roast coffee and dark chocolate; off-dry, full bodied, slightly bittersweet with a chewy texture, flavours of smoke, charred wood, toasted nut and dark fruit, with notes of citrus, caramel and molasses on a smoky lingering finish..",NULL,"February 25, 2015",5.1%,Germany,"Heller-Brau Trum Kg","Medium & Roasted","2018-06-11 03:03:54"
